unique_image_area_coverage,candidate_area_ratio,ocr_box_center_coverage,small_box_coverage,num_candidates,edge_patch_hit,image_id,question_id,gen_s
1.0,2.462346269780723,1.0,1.0,155.0,1.0,docvqa_val_32886,,0.20123819999980697
1.0,1.8763076598598625,1.0,1.0,134.0,1.0,docvqa_val_57454,,0.2316885000000184
1.0,2.0105596502298386,1.0,1.0,136.0,1.0,docvqa_val_49263,,0.22203309999986232
1.0,2.462346269780723,1.0,1.0,155.0,1.0,docvqa_val_32889,,0.26138899999978094
1.0,2.462346269780723,1.0,1.0,155.0,1.0,docvqa_val_32890,,0.21349099999997634
1.0,2.089140282876793,1.0,1.0,254.0,1.0,docvqa_val_32891,,0.42709400000012465
1.0,2.089140282876793,1.0,1.0,254.0,1.0,docvqa_val_32892,,0.5462348999999449
1.0,2.089140282876793,1.0,1.0,254.0,1.0,docvqa_val_32893,,0.4690113999999994
1.0,2.089140282876793,1.0,1.0,254.0,1.0,docvqa_val_32894,,0.5580267000000276
1.0,2.0105596502298386,1.0,1.0,136.0,1.0,docvqa_val_49274,,0.2619690999999875
1.0,2.0855613332757414,1.0,1.0,144.0,1.0,docvqa_val_32896,,0.22239029999991544
1.0,2.0855613332757414,1.0,1.0,144.0,1.0,docvqa_val_32897,,0.27792279999994207
1.0,2.0855613332757414,1.0,1.0,144.0,1.0,docvqa_val_32898,,0.2515259000001606
1.0,1.904748106852978,1.0,1.0,136.0,1.0,docvqa_val_57475,,0.21040029999994658
1.0,2.0855613332757414,1.0,1.0,144.0,1.0,docvqa_val_32900,,0.2078670000000784
1.0,1.904748106852978,1.0,1.0,136.0,1.0,docvqa_val_57476,,0.1935947000001761
1.0,2.0105596502298386,1.0,1.0,136.0,1.0,docvqa_val_49279,,0.21752369999967414
1.0,2.0105596502298386,1.0,1.0,136.0,1.0,docvqa_val_49285,,0.23427129999981844
1.0,2.0105596502298386,1.0,1.0,136.0,1.0,docvqa_val_49292,,0.26727200000004814
1.0,2.322295868304158,1.0,1.0,149.0,1.0,docvqa_val_16529,,0.15369929999997112
